#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-05-07T20:14:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ554bc7607b0a	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/A+A/552/A16&tab:{J/A+A/552/A16/limb6}&key:source=J/A+A/552/A16/limb6&HTTPPRM:&
#-source=J/A+A/552/A16/limb6
#-order=I
#-out=logg
#-out=Teff
#-out=Z
#-out=xi
#-out=a1
#-out=a2
#-out=a3
#-out=a4
#-out=Filt
#-out=Met
#-out=Mod
#-out.all=2
#

#RESOURCE=yCat_35520016
#Name: J/A+A/552/A16
#Title: Limb-darkening for CoRoT, Kepler, Spitzer. II. (Claret+, 2013)
#Table	J_A_A_552_A16_limb6:
#Name: J/A+A/552/A16/limb6
#Title: Limb-darkening coefficients for the non-linear law for spherical and quasi-spherical PHOENIX models
#Column	logg	(F5.2)	[2.5/5.5] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[5000/10000] Effective temperature	[ucd=phys.temperature.effective]
#Column	Z	(F4.1)	[0] Metallicity (log[M/H])	[ucd=phys.abund.Z]
#Column	xi	(F4.1)	[2] Microturbulent velocity {xi}	[ucd=phys.veloc]
#Column	a1	(F10.5)	Equation 6 limb darkening coefficient a1 (G2)	[ucd=phot.limbDark]
#Column	a2	(F10.5)	Equation 6 limb darkening coefficient a2 (G2)	[ucd=phot.limbDark]
#Column	a3	(F10.5)	Equation 6 limb darkening coefficient a3 (G2)	[ucd=phot.limbDark]
#Column	a4	(F10.5)	Equation 6 limb darkening coefficient a4 (G2)	[ucd=phot.limbDark]
#Column	Filt	(A2)	Filter (G1)	[ucd=meta.id;instr.filter]
#Column	Met	(A1)	[L] Method (Least-Square)	[ucd=meta.id;stat.fit]
#Column	Mod	(A2)	[qs s] quasi-spherical/spherical PHOENIX model	[ucd=stat.param;meta.modelled]
logg	Teff	Z	xi	a1	a2	a3	a4	Filt	Met	Mod
 4.00	  5700	 0.0	 2.0	   0.77405	  -1.28230	   2.56935	  -1.09522	v 	L	qs
 4.50	  5700	 0.0	 2.0	   0.50359	  -0.68448	   2.01204	  -0.91403	v 	L	qs
 5.00	  5700	 0.0	 2.0	   0.33436	  -0.32376	   1.68891	  -0.81510	v 	L	qs
 5.50	  5700	 0.0	 2.0	  -0.00747	   0.53634	   0.81469	  -0.51461	v 	L	qs
 3.00	  5800	 0.0	 2.0	   2.85852	  -5.70914	   6.68040	  -2.48384	v 	L	qs
 3.50	  5800	 0.0	 2.0	   1.45210	  -2.75471	   3.95436	  -1.56510	v 	L	qs
 4.00	  5800	 0.0	 2.0	   0.70558	  -1.06273	   2.35151	  -1.04133	v 	L	qs
 4.50	  5800	 0.0	 2.0	   0.44168	  -0.48506	   1.81323	  -0.86508	v 	L	qs
 5.00	  5800	 0.0	 2.0	   0.27448	  -0.11385	   1.46130	  -0.74903	v 	L	qs
 5.50	  5800	 0.0	 2.0	  -0.13782	   0.94980	   0.36020	  -0.36320	v 	L	qs
 3.00	  5900	 0.0	 2.0	   2.98550	  -5.94378	   6.91319	  -2.58963	v 	L	qs
 3.50	  5900	 0.0	 2.0	   1.41601	  -2.63201	   3.84396	  -1.55000	v 	L	qs
 4.00	  5900	 0.0	 2.0	   0.61718	  -0.80719	   2.09976	  -0.97382	v 	L	qs
 4.50	  5900	 0.0	 2.0	   0.37301	  -0.27563	   1.60315	  -0.80998	v 	L	qs
 5.00	  5900	 0.0	 2.0	   0.22302	   0.06715	   1.26418	  -0.69266	v 	L	qs
 5.50	  5900	 0.0	 2.0	  -0.23897	   1.28979	  -0.02664	  -0.23174	v 	L	qs
 3.00	  6000	 0.0	 2.0	   3.14768	  -6.25160	   7.21183	  -2.71664	v 	L	qs
 3.50	  6000	 0.0	 2.0	   1.38413	  -2.52696	   3.75002	  -1.53941	v 	L	qs
 4.00	  6000	 0.0	 2.0	   0.51829	  -0.52712	   1.82003	  -0.89363	v 	L	qs
 4.50	  6000	 0.0	 2.0	   0.25695	   0.03074	   1.30136	  -0.72219	v 	L	qs
 5.00	  6000	 0.0	 2.0	  -0.21812	   1.29574	  -0.04499	  -0.23685	v 	L	qs
 5.50	  6000	 0.0	 2.0	  -0.30918	   1.54246	  -0.31909	  -0.13424	v 	L	qs
 3.00	  6100	 0.0	 2.0	   3.42321	  -6.79892	   7.72904	  -2.91607	v 	L	qs
 3.50	  6100	 0.0	 2.0	   1.30672	  -2.31592	   3.55446	  -1.49253	v 	L	qs
 4.00	  6100	 0.0	 2.0	   0.41744	  -0.25070	   1.54263	  -0.81092	v 	L	qs
 4.50	  6100	 0.0	 2.0	   0.16449	   0.29005	   1.03460	  -0.64095	v 	L	qs
 5.00	  6100	 0.0	 2.0	  -0.27122	   1.47617	  -0.25076	  -0.17206	v 	L	qs
 5.50	  6100	 0.0	 2.0	  -0.36480	   1.74079	  -0.55030	  -0.05802	v 	L	qs
 3.00	  6200	 0.0	 2.0	   4.00290	  -7.99846	   8.85138	  -3.32039	v 	L	qs
 3.50	  6200	 0.0	 2.0	   1.21471	  -2.07209	   3.32671	  -1.43350	v 	L	qs
 4.00	  6200	 0.0	 2.0	   0.32235	   0.01783	   1.26779	  -0.72750	v 	L	qs
 4.50	  6200	 0.0	 2.0	   0.13161	   0.74981	   0.26851	  -0.30963	v 	L	qs
 5.00	  6200	 0.0	 2.0	  -0.36138	   1.75151	  -0.55236	  -0.07283	v 	L	qs
 5.50	  6200	 0.0	 2.0	  -0.42499	   1.94707	  -0.78789	   0.02039	v 	L	qs
 3.00	  6300	 0.0	 2.0	   5.03400	 -10.17596	  10.88791	  -4.03647	v 	L	qs
 3.50	  6300	 0.0	 2.0	   0.72595	  -0.76901	   1.99352	  -0.98629	v 	L	qs
 4.00	  6300	 0.0	 2.0	   0.20464	   0.33417	   0.94740	  -0.62682	v 	L	qs
 4.50	  6300	 0.0	 2.0	   0.07830	   0.93417	   0.05080	  -0.23552	v 	L	qs
 5.00	  6300	 0.0	 2.0	  -0.45546	   2.03517	  -0.86432	   0.03218	v 	L	qs
 5.50	  6300	 0.0	 2.0	  -0.53130	   2.25844	  -1.12923	   0.13634	v 	L	qs
 3.00	  6400	 0.0	 2.0	   6.68721	 -13.69170	  14.17023	  -5.17706	v 	L	qs
 3.50	  6400	 0.0	 2.0	   0.59914	  -0.41421	   1.63065	  -0.87085	v 	L	qs
 4.00	  6400	 0.0	 2.0	   0.08130	   0.66795	   0.60553	  -0.51662	v 	L	qs
 4.50	  6400	 0.0	 2.0	   0.02515	   1.11627	  -0.16467	  -0.16114	v 	L	qs
 5.00	  6400	 0.0	 2.0	  -0.54604	   2.29940	  -1.15361	   0.13008	v 	L	qs
 5.50	  6400	 0.0	 2.0	  -0.31009	   1.95865	  -1.04394	   0.15302	v 	L	qs
 3.00	  6500	 0.0	 2.0	   8.35745	 -17.20487	  17.42078	  -6.29834	v 	L	qs
 3.50	  6500	 0.0	 2.0	   0.47397	  -0.04655	   1.24302	  -0.74320	v 	L	qs
 4.00	  6500	 0.0	 2.0	  -0.05100	   1.02953	   0.23052	  -0.39260	v 	L	qs
 4.50	  6500	 0.0	 2.0	  -0.03100	   1.29913	  -0.37626	  -0.08858	v 	L	qs
 5.00	  6500	 0.0	 2.0	  -0.62153	   2.55161	  -1.44595	   0.23304	v 	L	qs
 5.50	  6500	 0.0	 2.0	  -0.35403	   2.12150	  -1.24552	   0.22475	v 	L	qs
 3.00	  6600	 0.0	 2.0	  10.44804	 -21.60800	  21.47799	  -7.68449	v 	L	qs
 3.50	  6600	 0.0	 2.0	   0.35676	   0.32016	   0.84271	  -0.60710	v 	L	qs
 4.00	  6600	 0.0	 2.0	  -0.18818	   1.41370	  -0.17496	  -0.25522	v 	L	qs
 4.50	  6600	 0.0	 2.0	  -0.09024	   1.48765	  -0.59208	  -0.01435	v 	L	qs
 5.00	  6600	 0.0	 2.0	  -0.69358	   2.78351	  -1.71372	   0.32765	v 	L	qs
 5.50	  6600	 0.0	 2.0	  -0.39527	   2.27642	  -1.43930	   0.29463	v 	L	qs
 3.00	  6700	 0.0	 2.0	  12.58571	 -26.03343	  25.50205	  -9.04771	v 	L	qs
 3.50	  6700	 0.0	 2.0	   0.24158	   0.70411	   0.40869	  -0.45460	v 	L	qs
 4.00	  6700	 0.0	 2.0	  -0.32762	   1.81365	  -0.60497	  -0.10648	v 	L	qs
 4.50	  6700	 0.0	 2.0	  -0.15109	   1.68041	  -0.81156	   0.06153	v 	L	qs
 5.00	  6700	 0.0	 2.0	  -0.75722	   2.99470	  -1.96220	   0.41675	v 	L	qs
 5.50	  6700	 0.0	 2.0	  -0.42878	   2.41210	  -1.61353	   0.35827	v 	L	qs
 3.00	  6800	 0.0	 2.0	  14.18774	 -29.24928	  28.35504	  -9.99900	v 	L	qs
 3.50	  6800	 0.0	 2.0	   0.14030	   1.08141	  -0.03700	  -0.29288	v 	L	qs
 4.00	  6800	 0.0	 2.0	  -0.45737	   2.20316	  -1.03476	   0.04543	v 	L	qs
 4.50	  6800	 0.0	 2.0	  -0.60806	   2.46354	  -1.27346	   0.13041	v 	L	qs
 5.00	  6800	 0.0	 2.0	  -0.81604	   3.19082	  -2.19563	   0.50149	v 	L	qs
 5.50	  6800	 0.0	 2.0	  -0.45002	   2.51046	  -1.74923	   0.40920	v 	L	qs
 3.00	  6900	 0.0	 2.0	  15.44863	 -31.76097	  30.57654	 -10.73707	v 	L	qs
 3.50	  6900	 0.0	 2.0	   0.04406	   1.46421	  -0.50494	  -0.11787	v 	L	qs
 4.00	  6900	 0.0	 2.0	  -0.59887	   2.63018	  -1.50928	   0.21515	v 	L	qs
 4.50	  6900	 0.0	 2.0	  -0.71433	   2.78631	  -1.63525	   0.25940	v 	L	qs
 5.00	  6900	 0.0	 2.0	  -0.86910	   3.37685	  -2.42219	   0.58492	v 	L	qs
 5.50	  6900	 0.0	 2.0	  -0.46962	   2.60222	  -1.87725	   0.45768	v 	L	qs
 3.00	  7000	 0.0	 2.0	  16.61468	 -33.86401	  32.24851	 -11.24719	v 	L	qs
 3.50	  7000	 0.0	 2.0	   0.02081	   1.70164	  -0.84836	   0.01779	v 	L	qs
 4.00	  7000	 0.0	 2.0	  -0.72587	   3.03875	  -1.97894	   0.38714	v 	L	qs
 4.50	  7000	 0.0	 2.0	  -0.82144	   3.11866	  -2.01357	   0.39667	v 	L	qs
 5.00	  7000	 0.0	 2.0	  -0.92361	   3.56700	  -2.65560	   0.67235	v 	L	qs
 5.50	  7000	 0.0	 2.0	  -0.49275	   2.70202	  -2.01221	   0.50873	v 	L	qs
 3.00	  7200	 0.0	 2.0	  17.82754	 -35.67440	  33.36843	 -11.50155	v 	L	qs
 3.50	  7200	 0.0	 2.0	   0.16733	   1.80291	  -1.23526	   0.20465	v 	L	qs
 4.00	  7200	 0.0	 2.0	  -0.91158	   3.73747	  -2.83564	   0.71190	v 	L	qs
 4.50	  7200	 0.0	 2.0	  -1.00130	   3.72424	  -2.73132	   0.66352	v 	L	qs
 5.00	  7200	 0.0	 2.0	  -0.99152	   3.87094	  -3.06174	   0.82986	v 	L	qs
 5.50	  7200	 0.0	 2.0	  -0.53680	   2.90053	  -2.28235	   0.61201	v 	L	qs
 3.00	  7400	 0.0	 2.0	  18.30783	 -35.80568	  32.81832	 -11.15184	v 	L	qs
 3.50	  7400	 0.0	 2.0	   0.77054	   0.94155	  -0.76428	   0.11602	v 	L	qs
 4.00	  7400	 0.0	 2.0	  -0.95561	   4.15612	  -3.47017	   0.97664	v 	L	qs
 4.50	  7400	 0.0	 2.0	  -1.12187	   4.22154	  -3.37325	   0.91415	v 	L	qs
 5.00	  7400	 0.0	 2.0	  -1.01978	   4.10422	  -3.42111	   0.97887	v 	L	qs
 5.50	  7400	 0.0	 2.0	  -1.00926	   4.04190	  -3.36592	   0.96459	v 	L	qs
 3.00	  7600	 0.0	 2.0	  18.17499	 -34.70940	  31.18413	 -10.43797	v 	L	qs
 3.50	  7600	 0.0	 2.0	   2.16116	  -1.67129	   1.35329	  -0.53025	v 	L	qs
 4.00	  7600	 0.0	 2.0	  -0.79699	   4.13828	  -3.71137	   1.11468	v 	L	qs
 4.50	  7600	 0.0	 2.0	  -1.13183	   4.49671	  -3.82944	   1.10934	v 	L	qs
 5.00	  7600	 0.0	 2.0	  -0.98286	   4.19842	  -3.65577	   1.08783	v 	L	qs
 5.50	  7600	 0.0	 2.0	  -0.98434	   4.13210	  -3.57634	   1.06093	v 	L	qs
 3.00	  7800	 0.0	 2.0	  21.79028	 -41.39810	  36.35317	 -11.88449	v 	L	qs
 3.50	  7800	 0.0	 2.0	   6.39967	 -10.59836	   9.46431	  -3.23928	v 	L	qs
 4.00	  7800	 0.0	 2.0	  -0.40300	   3.58943	  -3.45455	   1.08644	v 	L	qs
 4.50	  7800	 0.0	 2.0	  -1.01802	   4.50584	  -4.05042	   1.23093	v 	L	qs
 5.00	  7800	 0.0	 2.0	  -0.86693	   4.12828	  -3.74756	   1.15224	v 	L	qs
 5.50	  7800	 0.0	 2.0	  -0.89853	   4.08186	  -3.65282	   1.11186	v 	L	qs
 3.00	  8000	 0.0	 2.0	  21.00172	 -39.25612	  33.95484	 -10.92812	v 	L	qs
 3.50	  8000	 0.0	 2.0	  10.63201	 -19.60018	  17.70082	  -5.99951	v 	L	qs
 4.00	  8000	 0.0	 2.0	   0.18233	   2.58098	  -2.74504	   0.90117	v 	L	qs
 4.50	  8000	 0.0	 2.0	  -0.75856	   4.17972	  -3.95211	   1.24426	v 	L	qs
 5.00	  8000	 0.0	 2.0	  -0.65934	   3.84642	  -3.64009	   1.14995	v 	L	qs
 5.50	  8000	 0.0	 2.0	  -0.77097	   3.94667	  -3.65940	   1.14263	v 	L	qs
 3.00	  8200	 0.0	 2.0	  18.35643	 -33.84229	  29.22123	  -9.39232	v 	L	qs
 3.50	  8200	 0.0	 2.0	  14.17648	 -27.25309	  24.75768	  -8.35868	v 	L	qs
 4.00	  8200	 0.0	 2.0	   0.86475	   1.27981	  -1.70819	   0.59534	v 	L	qs
 4.50	  8200	 0.0	 2.0	   0.26568	   2.07365	  -2.21917	   0.72785	v 	L	qs
 5.00	  8200	 0.0	 2.0	  -0.38910	   3.42113	  -3.39916	   1.10382	v 	L	qs
 5.50	  8200	 0.0	 2.0	  -0.58606	   3.67661	  -3.53547	   1.12828	v 	L	qs
 3.00	  8400	 0.0	 2.0	  17.84790	 -32.60136	  27.79970	  -8.77169	v 	L	qs
 3.50	  8400	 0.0	 2.0	  17.44698	 -34.63071	  31.79985	 -10.76403	v 	L	qs
 4.00	  8400	 0.0	 2.0	   1.55378	  -0.13130	  -0.50536	   0.22322	v 	L	qs
 4.50	  8400	 0.0	 2.0	   0.58082	   1.52614	  -1.83945	   0.62966	v 	L	qs
 5.00	  8400	 0.0	 2.0	  -0.06862	   2.85401	  -3.00636	   1.00254	v 	L	qs
 5.50	  8400	 0.0	 2.0	  -0.36145	   3.30988	  -3.31974	   1.08384	v 	L	qs
 3.00	  8600	 0.0	 2.0	  17.59817	 -31.72165	  26.75047	  -8.36553	v 	L	qs
 3.50	  8600	 0.0	 2.0	  19.19200	 -38.83286	  36.01634	 -12.25490	v 	L	qs
 4.00	  8600	 0.0	 2.0	   2.10965	  -1.44592	   0.72618	  -0.16775	v 	L	qs
 4.50	  8600	 0.0	 2.0	   0.90509	   0.90941	  -1.36108	   0.49261	v 	L	qs
 5.00	  8600	 0.0	 2.0	   0.27189	   2.21855	  -2.53767	   0.87489	v 	L	qs
 5.50	  8600	 0.0	 2.0	  -0.10302	   2.85657	  -3.01985	   1.01155	v 	L	qs
 3.00	  8800	 0.0	 2.0	  17.33270	 -30.49581	  25.10258	  -7.67559	v 	L	qs
 3.50	  8800	 0.0	 2.0	  21.23572	 -43.26453	  40.06664	 -13.57973	v 	L	qs
 4.00	  8800	 0.0	 2.0	   2.62327	  -3.19407	   2.81655	  -0.98030	v 	L	qs
 4.50	  8800	 0.0	 2.0	   0.88411	   0.70278	  -1.00246	   0.33826	v 	L	qs
 5.00	  8800	 0.0	 2.0	   0.36225	   1.65944	  -1.81674	   0.59306	v 	L	qs
 5.50	  8800	 0.0	 2.0	   0.11856	   2.01371	  -2.05865	   0.65706	v 	L	qs
 3.00	  9000	 0.0	 2.0	  16.59839	 -28.25097	  22.50943	  -6.66492	v 	L	qs
 3.50	  9000	 0.0	 2.0	  23.43844	 -47.84951	  44.20770	 -14.96320	v 	L	qs
 4.00	  9000	 0.0	 2.0	   2.50372	  -2.82478	   2.33899	  -0.76590	v 	L	qs
 4.50	  9000	 0.0	 2.0	   1.16285	   0.00622	  -0.33806	   0.12972	v 	L	qs
 5.00	  9000	 0.0	 2.0	   0.59964	   1.14456	  -1.38320	   0.46139	v 	L	qs
 5.50	  9000	 0.0	 2.0	   0.31335	   1.61302	  -1.74956	   0.56994	v 	L	qs
 3.00	  9200	 0.0	 2.0	  15.17532	 -24.44099	  18.40824	  -5.12771	v 	L	qs
 3.50	  9200	 0.0	 2.0	  25.67395	 -52.46994	  48.33322	 -16.32242	v 	L	qs
 4.00	  9200	 0.0	 2.0	   3.33526	  -4.89127	   4.38594	  -1.45879	v 	L	qs
 4.50	  9200	 0.0	 2.0	   1.46053	  -0.93429	   0.77354	  -0.29898	v 	L	qs
 5.00	  9200	 0.0	 2.0	   0.77462	   0.75735	  -1.05176	   0.36183	v 	L	qs
 5.50	  9200	 0.0	 2.0	   0.47084	   1.29967	  -1.51744	   0.50767	v 	L	qs
 3.00	  9400	 0.0	 2.0	  12.92327	 -18.73921	  12.47909	  -2.95134	v 	L	qs
 3.50	  9400	 0.0	 2.0	  27.50242	 -56.17189	  51.57992	 -17.37684	v 	L	qs
 4.00	  9400	 0.0	 2.0	   3.55805	  -5.32162	   4.75813	  -1.58832	v 	L	qs
 4.50	  9400	 0.0	 2.0	   1.23204	  -0.34011	   0.11986	  -0.04547	v 	L	qs
 5.00	  9400	 0.0	 2.0	   0.89706	   0.42421	  -0.72274	   0.25816	v 	L	qs
 5.50	  9400	 0.0	 2.0	   0.62157	   0.97249	  -1.24861	   0.42825	v 	L	qs
 3.00	  9600	 0.0	 2.0	   9.52191	 -10.41874	   4.02352	   0.10638	v 	L	qs
 3.50	  9600	 0.0	 2.0	  29.25111	 -59.59406	  54.48737	 -18.29314	v 	L	qs
 4.00	  9600	 0.0	 2.0	   4.09962	  -6.45047	   5.75458	  -1.91516	v 	L	qs
 4.50	  9600	 0.0	 2.0	   1.77383	  -1.72400	   1.46876	  -0.47552	v 	L	qs
 5.00	  9600	 0.0	 2.0	   1.09311	  -0.22240	   0.02120	  -0.00626	v 	L	qs
 5.50	  9600	 0.0	 2.0	   0.73611	   0.70593	  -1.01544	   0.35714	v 	L	qs
 3.00	  9800	 0.0	 2.0	   5.37923	  -0.44892	  -5.99014	   3.69776	v 	L	qs
 3.50	  9800	 0.0	 2.0	  30.72720	 -62.36941	  56.75122	 -18.97894	v 	L	qs
 4.00	  9800	 0.0	 2.0	   4.68218	  -7.65883	   6.82755	  -2.26972	v 	L	qs
 4.50	  9800	 0.0	 2.0	   1.73897	  -1.67892	   1.47688	  -0.50165	v 	L	qs
 5.00	  9800	 0.0	 2.0	   0.98373	  -0.09014	   0.02316	  -0.05411	v 	L	qs
 5.50	  9800	 0.0	 2.0	   0.81575	   0.49235	  -0.80666	   0.29050	v 	L	qs
 3.00	 10000	 0.0	 2.0	   0.36094	  11.46732	 -17.84228	   7.91871	v 	L	qs
 3.50	 10000	 0.0	 2.0	  31.59802	 -63.71106	  57.58858	 -19.15462	v 	L	qs
 4.00	 10000	 0.0	 2.0	   5.55306	  -9.48765	   8.47788	  -2.82039	v 	L	qs
 4.50	 10000	 0.0	 2.0	   1.93737	  -2.07872	   1.80235	  -0.60119	v 	L	qs
 5.00	 10000	 0.0	 2.0	   0.92429	   0.05871	  -0.18751	   0.06218	v 	L	qs
 5.50	 10000	 0.0	 2.0	   0.86743	   0.27960	  -0.55677	   0.20879	v 	L	qs
 3.00	  5000	 0.0	 2.0	   2.24786	  -4.08112	   4.61815	  -1.53639	b 	L	qs
 3.50	  5000	 0.0	 2.0	   1.28269	  -2.12954	   2.89300	  -0.98022	b 	L	qs
 4.00	  5000	 0.0	 2.0	   1.00267	  -1.66310	   2.62690	  -0.96213	b 	L	qs
 4.50	  5000	 0.0	 2.0	   0.85365	  -1.38005	   2.40726	  -0.90518	b 	L	qs
 5.00	  5000	 0.0	 2.0	   0.67244	  -1.00200	   2.13313	  -0.85851	b 	L	qs
 5.50	  5000	 0.0	 2.0	   0.40930	  -0.28215	   1.38906	  -0.60914	b 	L	qs
 3.00	  5100	 0.0	 2.0	   2.35667	  -4.29047	   4.82259	  -1.62486	b 	L	qs
 3.50	  5100	 0.0	 2.0	   1.33409	  -2.27153	   3.13434	  -1.13010	b 	L	qs
 4.00	  5100	 0.0	 2.0	   0.99922	  -1.62835	   2.60424	  -0.97565	b 	L	qs
 4.50	  5100	 0.0	 2.0	   0.84209	  -1.32372	   2.35836	  -0.90770	b 	L	qs
 5.00	  5100	 0.0	 2.0	   0.62820	  -0.86666	   2.00571	  -0.83438	b 	L	qs
 5.50	  5100	 0.0	 2.0	   0.39028	  -0.19315	   1.29091	  -0.58912	b 	L	qs
 3.00	  5200	 0.0	 2.0	   2.44011	  -4.44367	   4.97123	  -1.69280	b 	L	qs
 3.50	  5200	 0.0	 2.0	   1.35183	  -2.28787	   3.16097	  -1.15938	b 	L	qs
 4.00	  5200	 0.0	 2.0	   0.99513	  -1.59007	   2.57266	  -0.98317	b 	L	qs
 4.50	  5200	 0.0	 2.0	   0.82844	  -1.26230	   2.30165	  -0.90559	b 	L	qs
 5.00	  5200	 0.0	 2.0	   0.58150	  -0.72699	   1.87403	  -0.80803	b 	L	qs
 5.50	  5200	 0.0	 2.0	   0.46843	  -0.47166	   1.65290	  -0.74542	b 	L	qs
 3.00	  5300	 0.0	 2.0	   2.57350	  -4.74424	   5.34471	  -1.88245	b 	L	qs
 3.50	  5300	 0.0	 2.0	   1.37033	  -2.30150	   3.17767	  -1.18195	b 	L	qs
 4.00	  5300	 0.0	 2.0	   0.99977	  -1.57161	   2.55677	  -0.99398	b 	L	qs
 4.50	  5300	 0.0	 2.0	   0.82052	  -1.21367	   2.25211	  -0.90282	b 	L	qs
 5.00	  5300	 0.0	 2.0	   0.53641	  -0.58344	   1.72867	  -0.77301	b 	L	qs
 5.50	  5300	 0.0	 2.0	   0.45648	  -0.39315	   1.55638	  -0.72160	b 	L	qs
 3.00	  5400	 0.0	 2.0	   2.70877	  -5.01222	   5.60247	  -1.98822	b 	L	qs
 3.50	  5400	 0.0	 2.0	   1.40437	  -2.35295	   3.23103	  -1.21660	b 	L	qs
 4.00	  5400	 0.0	 2.0	   0.99736	  -1.53444	   2.51648	  -0.99307	b 	L	qs
 4.50	  5400	 0.0	 2.0	   0.62705	  -0.73345	   1.83421	  -0.80821	b 	L	qs
 5.00	  5400	 0.0	 2.0	   0.48617	  -0.42725	   1.56692	  -0.72967	b 	L	qs
 5.50	  5400	 0.0	 2.0	   0.40971	  -0.24768	   1.40395	  -0.68029	b 	L	qs
 3.00	  5500	 0.0	 2.0	   2.84347	  -5.30111	   5.89337	  -2.10737	b 	L	qs
 3.50	  5500	 0.0	 2.0	   1.43105	  -2.38846	   3.26663	  -1.24317	b 	L	qs
 4.00	  5500	 0.0	 2.0	   1.00115	  -1.51610	   2.49526	  -0.99799	b 	L	qs
 4.50	  5500	 0.0	 2.0	   0.59127	  -0.61405	   1.70998	  -0.77744	b 	L	qs
 5.00	  5500	 0.0	 2.0	   0.43826	  -0.27958	   1.41240	  -0.68725	b 	L	qs
 5.50	  5500	 0.0	 2.0	   0.36297	  -0.10368	   1.25079	  -0.63706	b 	L	qs
 3.00	  5600	 0.0	 2.0	   3.00145	  -5.63180	   6.21535	  -2.23453	b 	L	qs
 3.50	  5600	 0.0	 2.0	   1.45909	  -2.43164	   3.31032	  -1.27169	b 	L	qs
 4.00	  5600	 0.0	 2.0	   1.00781	  -1.50796	   2.48378	  -1.00512	b 	L	qs
 4.50	  5600	 0.0	 2.0	   0.55095	  -0.48413	   1.57048	  -0.73830	b 	L	qs
 5.00	  5600	 0.0	 2.0	   0.39579	  -0.14408	   1.26625	  -0.64559	b 	L	qs
 5.50	  5600	 0.0	 2.0	  -0.01626	   0.90243	   0.21511	  -0.28893	b 	L	qs
 3.00	  5700	 0.0	 2.0	   3.15030	  -5.94185	   6.51760	  -2.35431	b 	L	qs
 3.50	  5700	 0.0	 2.0	   1.48708	  -2.47940	   3.36074	  -1.30240	b 	L	qs
 4.00	  5700	 0.0	 2.0	   0.75406	  -0.90111	   1.94103	  -0.86302	b 	L	qs
 4.50	  5700	 0.0	 2.0	   0.51367	  -0.36297	   1.43983	  -0.70162	b 	L	qs
 5.00	  5700	 0.0	 2.0	   0.35795	  -0.02196	   1.13297	  -0.60738	b 	L	qs
 5.50	  5700	 0.0	 2.0	  -0.07974	   1.10067	  -0.00511	  -0.21788	b 	L	qs
 3.00	  5800	 0.0	 2.0	   3.31813	  -6.30291	   6.87555	  -2.49512	b 	L	qs
 3.50	  5800	 0.0	 2.0	   1.50386	  -2.50691	   3.39608	  -1.32875	b 	L	qs
 4.00	  5800	 0.0	 2.0	   0.74893	  -0.85304	   1.87828	  -0.84775	b 	L	qs
 4.50	  5800	 0.0	 2.0	   0.48074	  -0.25951	   1.32908	  -0.67128	b 	L	qs
 5.00	  5800	 0.0	 2.0	   0.31907	   0.09849	   1.00113	  -0.56835	b 	L	qs
 5.50	  5800	 0.0	 2.0	  -0.13534	   1.27876	  -0.20715	  -0.15162	b 	L	qs
 3.00	  5900	 0.0	 2.0	   3.51845	  -6.73370	   7.29963	  -2.65874	b 	L	qs
 3.50	  5900	 0.0	 2.0	   1.51180	  -2.51780	   3.41826	  -1.35094	b 	L	qs
 4.00	  5900	 0.0	 2.0	   0.71305	  -0.75437	   1.78245	  -0.82525	b 	L	qs
 4.50	  5900	 0.0	 2.0	   0.44309	  -0.15054	   1.21497	  -0.63938	b 	L	qs
 5.00	  5900	 0.0	 2.0	   0.28516	   0.20335	   0.88597	  -0.53469	b 	L	qs
 5.50	  5900	 0.0	 2.0	  -0.19173	   1.45607	  -0.40906	  -0.08404	b 	L	qs
 3.00	  6000	 0.0	 2.0	   3.79509	  -7.32838	   7.87825	  -2.87593	b 	L	qs
 3.50	  6000	 0.0	 2.0	   1.54504	  -2.60304	   3.52155	  -1.40363	b 	L	qs
 4.00	  6000	 0.0	 2.0	   0.67079	  -0.64049	   1.67181	  -0.79715	b 	L	qs
 4.50	  6000	 0.0	 2.0	   0.35584	   0.04903	   1.03047	  -0.58790	b 	L	qs
 5.00	  6000	 0.0	 2.0	  -0.18717	   1.45936	  -0.42483	  -0.07993	b 	L	qs
 5.50	  6000	 0.0	 2.0	  -0.24750	   1.63359	  -0.61190	  -0.01561	b 	L	qs
 3.00	  6100	 0.0	 2.0	   4.25612	  -8.32002	   8.82812	  -3.22013	b 	L	qs
 3.50	  6100	 0.0	 2.0	   1.52203	  -2.54892	   3.48779	  -1.40838	b 	L	qs
 4.00	  6100	 0.0	 2.0	   0.61571	  -0.49459	   1.52752	  -0.75593	b 	L	qs
 4.50	  6100	 0.0	 2.0	   0.30186	   0.18648	   0.89516	  -0.54955	b 	L	qs
 5.00	  6100	 0.0	 2.0	  -0.20788	   1.52997	  -0.51131	  -0.05304	b 	L	qs
